geo	2011	2012	2013	2014	2015	2016	2017	2018	2019
RO42	13010.82	12849.46	13659.29	13895.45	15186.12	16491.47	17712.91	19197.53	21136.62
ROZZ	119.14	107.85	116.18	105.97	127.88	118.19	149.18	159.16	157.01
SE11	126394.95	132464	137364.17	138536.07	145530.12	147832.92	149365.45	147848.2	151284.4
SE12	59106.92	62331.42	63664.63	62372.07	64299.54	66228.66	68908.52	67705.85	68167.78
SE21	30568.68	31457.55	32202.99	31727.72	32657.45	33867.83	35108.45	34222.41	34036.41
SE22	52482.06	54549.43	56306.4	56180.77	57910.18	59057.29	61663.03	59934.92	60838.67
SE23	78497.56	81228.61	83839.82	83509.13	88358.6	90916.78	94243.2	91078.92	92169.51
SE31	29335.62	30581.96	30985.85	30329.5	30616.64	31620.92	32257.43	31867.24	31775.85
SE32	14447.91	14842.12	14935.41	14595.19	14603.08	14799.85	15224.01	14895.07	14955.74
SE33	21882.39	22469.86	22435.35	21473.67	21413.54	21834.35	23146.23	23021.85	23545.98
SEZZ	128.61	112.15	116.05	109.77	105.58	107.9	109.22	98.67	95.17
SI03	16356.96	15978.53	16096.86	16580.25	17085.4	17687.69	18722.66	19883.07	21023.3
SI04	20701.61	20274.74	20357.47	21054.05	21767.25	22755.53	24288.67	25981.18	27373.4
SK01	20237.43	20383.51	21267.98	21448.08	22811.95	23401.22	24254.4	25570.57	26446.45
SK02	22992.93	23640.58	23380.91	24085.83	24557.74	24965.99	25679.67	27050.26	29160.64
SK03	13916.45	14381.42	14514.34	14910.93	15829.68	15910.97	16537.12	17568.23	18714.33
SK04	14330.28	14955.33	15054.07	15647.83	16688.77	16736.07	17971.67	19240.97	19726.62
TR10	177136.51	205116.77	219733.34	217293.65	240393.8	242729.92	236333.81	202832.18	208610.6
TR21	14705.67	16546.5	17065.39	17175.71	18879.69	19470.45	19201.86	17028.96	17722.79
TR22	12419.04	13838.92	13626.8	13626.81	14680.08	15161.54	14386.49	12593.69	13096.78
TR31	37442.05	42324.75	43778.37	42516.61	46008.87	47539.1	46659.49	41364.89	41339.24
TR32	20365.81	22585.8	23214.75	23356.07	25243.33	25642.1	24561.04	21770.35	22719.69
TR33	19844.68	22208.83	22651.25	22396.38	24375.66	25099.7	24343.17	21075.48	21591.77
TR41	33895.33	37965.03	40124.25	39116.27	42819.72	43127.8	42278.08	37552.45	37727.94
TR42	34412.48	38589.31	40824.48	40786.65	45625.83	45490.04	45821.71	41067.34	40332.19
TR51	56215.04	63329.12	69038.69	65827.14	71653.95	74858.58	69609.46	58391.78	62328.58
TR52	13925.93	16266.71	17274.37	17126.11	18723.56	18812.05	18088.84	15582.22	16103.23
TR61	24913	27877.01	28970.24	28928.76	31032.83	28312.08	27712.46	26140.34	28191
TR62	22912.79	26123.81	26911.62	26388.88	29041.21	29856.39	28275.65	24035.1	25333.79
TR63	15002.21	16421.46	17491.87	17061.31	18898.26	19594.71	19235.05	16941.14	16768.98
TR71	8650.62	9524.93	9787.63	9716.71	10824.19	10648.53	10373.51	8982.38	9229.48
TR72	14697.91	16508.63	17116.57	16821.51	18219.6	18542.46	17376.35	14665.98	15155.59
TR81	6258.19	6601.33	6994.88	7130.55	7362.85	7337.11	7440.07	6498.78	5961.03
