NUTS,Air_passengers,Hospital_beds,Death_rate,Compensation_of_employees,Deaths,Early_leavers_from_ed.,Employment_worked_hrs.,Farm_labour_force,Health_personnel,Respiratory_discharges,Life_expectancy,Longterm_care_beds,Gross_domestic_product,Ed._participation,Population_density,Population,Pupils_enrolled,GVA_growth,Vehicles,Tertiary_ed._students,Unemployment_rate,Utilised_agricultural_area,NEET_rate,Cases_density_1,Cases_density_2,Country,Latitude,Longitude
ITF1,699,293.07,1111.32,12901,14612,8,905173.3,27030,5498,13863,83.7,518.55,33130.95,6.9,120.5,1293941,57390,100.6,1025132,49265,9.3,424160,15.5,0.0027667412965506153,0.03633009542166142,IT,13.8714,42.2341
ITF2,NA,300.18,1177.64,2451.7,3663,8.6,195985.9,11790,1220,2038,83.6,1611.79,6489.57,7.1,68.2,300516,12603,103.5,254927,8407,9.5,174200,25.5,0.0016771153615780857,0.03161229352180916,IT,14.5396,41.5949
ITF3,10834,252.21,924.17,43228.2,53860,17.3,3223203.9,66720,21981,48380,82.1,2006.23,109630.67,5.3,422.2,5712143,291518,101.7,3958323,227318,17.9,509000,28,9.546329634954867e-4,0.04306649886041018,IT,14.7373,41.0387
ITF4,8294,283.3,960.47,31460.7,39140,15.6,2451686,95800,15002,37549,83.7,470.68,77475.32,5.5,206.8,3953305,184553,103.1,2697746,91130,14,1184540,22.7,0.0012480696531130282,0.03408945173721734,IT,16.5847,41.0043
ITF5,NA,288.35,1091.16,4839.5,6508,10.1,367471.8,22810,1876,6845,83,1027.07,13089.85,7.1,55.7,553254,23135,105.9,439965,7772,8.6,484630,21,8.910916143398874e-4,0.025821774447179778,IT,16.0794,40.5157
ITF6,3536,248.18,1007.27,13009.7,20162,16.6,1077528.8,49020,7258,14011,82.8,505.92,33619.41,5.6,126.5,1894110,87937,99.2,1488082,46395,20.1,498400,26.5,7.264625602525723e-4,0.018498925616780442,IT,16.3822,39.1604
ITG1,18182,281.95,1027.28,35708.9,52405,19.4,2618000.7,86910,21163,41690,82.3,1258.83,89365.04,4.7,192.1,4875290,237664,99.8,3787735,119324,17.9,1326110,29.3,7.94209164993262e-4,0.0296811061495829,IT,14.1658,37.5704
ITG2,9097,301.25,994.66,14140.3,17003,12,1033426.6,36340,7595,17631,83.6,825.4,35255.67,8.6,68.3,1611621,66624,99.6,1237233,41592,13.3,1134540,19.3,9.716924760846378e-4,0.024253841318771598,IT,9.0348,40.0775
ITH1,37,349.97,826.12,9836.2,4454,14.2,538871.1,0,1770,5683,84.5,132.48,25515.9,7.1,72.2,532644,27774,107.8,570247,4735,3.8,0,10.4,0.005314994630559999,0.09095193037000322,IT,11.4241,46.7053
ITH2,NA,347.06,916.56,7620.8,5074,7.9,461538.9,32050,1768,4368,84.9,109.87,20967.26,10.8,88.2,545425,27000,105.6,791582,18288,5.3,272540,11.6,0.009181830682495302,0.04897281936104872,IT,10.859,46.1313
ITH3,18404,328.97,995.51,65182.8,48900,10.5,4000567.2,181900,16900,48950,84.3,135.28,164860.15,7.6,282,4879133,235939,105.3,3621253,120980,5.8,1616450,12.6,0.0044130791269678445,0.062358414906910714,IT,11.8546,45.661
ITH4,780,326.82,1174.2,16230.9,14318,8.5,927456.7,39200,4756,14912,83.9,135.33,38771.59,8.7,159.9,1206216,54321,103.3,907472,32982,5.6,439190,11,0.0029356267865788548,0.05814215696027909,IT,13.0495,46.1665
ITH5,9905,371.56,1113.52,64216.8,50274,9.3,3713821.7,147720,19026,62670,84,204.74,163751.09,9.2,201.9,4464119,212847,106.3,3345612,169485,5.7,2086940,13.2,0.006860032181041769,0.047835642374228826,IT,11.0296,44.5224
ITI1,8233,285.45,1152.71,44979.4,43677,11.7,2901702.2,129530,16212,43056,84.1,271.87,118727.3,8.2,162.7,3692555,167756,103.7,2943965,129391,6.6,1497770,15.2,0.0029740924644318088,0.03706620483648856,IT,11.1306,43.4794
ITI2,218,302.88,1130.5,9042.3,10263,11.2,637434.2,38390,3852,10116,84.5,282.41,23267.08,8.1,105.5,870165,38945,103.4,728816,27113,8.2,639400,14.9,0.0018134491734326248,0.047280688145351746,IT,12.4893,42.9717
ITI3,482,301.75,1112.52,16654.7,17442,9.8,1157674.9,56160,5681,16746,84.4,298.01,42391.85,6.2,161.9,1512672,70983,102.6,1183635,51779,7.4,939040,14.6,0.004678476232785429,0.03713495060396438,IT,13.153,43.3477
ITI4,49250,338.37,979.13,81787.6,56796,11.9,4565242.9,112980,26986,53245,83.8,567.21,200839.55,7.8,343,5755700,273929,104.1,4225066,294502,9.1,1241600,17.6,0.001634727313793283,0.03741595288149139,IT,12.7501,41.9898
LU00,4366,426.45,674.73,31400.94,4283,8.2,573175.78,3530,1780,NA,82.7,82.62,63516.34,16.3,239.8,626108,39175,112.1,425335,7102,6.8,131040,6.6,0.010102091013052062,0.07636541938451513,LU,6.0943,49.771
LV00,7786,542.32,1483.83,13899.49,27719,7.2,1680177,82090,6253,1562.5,75.7,366.34,30424.23,6.6,30.2,1907675,120787,111.3,775050,80355,8.1,1877720,7.1,6.956111496979308e-4,0.041821589107159246,LV,26.382,56.6829
MT00,7318,430.84,762.02,5767.22,3688,16.7,353099.33,4450,1925,NA,82.9,93.18,13442,11,1595.1,514564,26788,125,324722,16068,4.3,10880,9.3,0.002928693029438515,0.037414199205541,MT,14.4312,35.886
NL11,NA,1400.1632815943958,962.35,10559,5500,6.1,408746,5600,3170,4819,81.3,110.44653246693166,24669.25,19.9,247.9,585866,35459,97.4,323115,51402,5.2,162960,5.6,9.148849736970569e-4,0.038938938255505526,NL,6.6929,53.2675
NL12,NA,1713.8947248524544,988.31,9804,6256,6.4,438799,9450,1530,5330,82,111.65154119616473,20727.69,16.4,191,649957,45161,104.7,393870,25784,3.9,226440,4.5,0.0011816166300232169,0.03706399038705637,NL,5.8002,53.0649
NL13,177,1502.2718716573088,1080.19,7537,5143,6.5,323908,6350,1446,4092,81.9,109.47260176129133,15701.17,18.1,184.5,493682,32859,103.4,308291,14733,3.7,150220,5.6,0.0011971268954509178,0.04104261447652537,NL,6.6292,52.8638
NL21,NA,1745.639909850666,903.93,21914,10478,6.8,873131,13470,3066,8765,81.9,105.05443979216156,45517,17.3,344.9,1162406,83080,109.8,670236,53974,3.5,198730,4.7,0.0029086222885979594,0.06090643028339496,NL,6.4397,52.4452
NL22,NA,1865.416727634364,913.87,38627,19079,6.1,1530738,20120,7666,17413,82.1,110.32316842363166,81757.36,17.6,415.8,2085952,139956,108.2,1194949,101148,3.5,232440,4.3,0.0034492644126039333,0.05362203924155493,NL,5.9378,52.0672
NL23,NA,1805.0574663835057,591.63,6227,2469,9,262189,4870,520,2983,82.4,110.5670009834588,14756.45,18,292.5,423021,33696,111.5,429317,16358,3.9,88600,5.5,0.0028485583458031636,0.056718224390751276,NL,5.4817,52.5438
NL31,NA,1941.3054937877087,750,34954,9823,6,1140175,5130,7709,9831,82.7,114.22221017807468,75838.85,22.2,934.6,1319231,95529,114.8,811443,79649,3.5,64470,3.7,0.0038484541372966526,0.05977800703591714,NL,5.2003,52.0749
NL32,71690,1778.681574285823,811.96,77141,23086,7.4,2520883,16380,13892,18068,82.4,117.0705425469851,177732.61,20.5,1041.2,2879527,186715,114.5,1389380,152371,3.9,128040,5.6,0.003836741242572131,0.05840994024365807,NL,4.9123,52.5945
NL33,2102,1784.3323377463169,842.33,79722,31224,7,2808887,26040,13658,28027,82.2,124.97159954152131,170723.53,19.9,1292.2,3744299,258153,105.2,1802818,204902,4.4,128640,4.3,0.0046665610839305306,0.062302449670819555,NL,4.4867,51.9388
NL34,NA,1359.9484634368291,1026.48,6305,3934,7.4,267651,5630,628,2919,82.6,104.89632681961064,14390.68,17.7,212.6,383488,24497,106.1,236250,10586,2.6,122180,3.5,0.0025815670894526036,0.03874697513351135,NL,3.7883,51.3073
NL41,6785,2134.7746017183476,903.55,55531,22886,8,2078590,27430,6727,20252,82.3,97.04085349911782,120868.9,17.5,514.8,2562955,165534,109.9,1609609,120128,3.5,246900,3.9,0.004517441781069118,0.05997101002553693,NL,5.4595,51.5461
